"speciesKey"	"species"	"scientificName"	"decimalLongitude"	"decimalLatitude"	"basisOfRecord"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218777	"Hyaena hyaena"	"Hyaena hyaena (Linnaeus, 1758)"	36.35	-1.18333	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	23.41667	-18.81264	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218777	"Hyaena hyaena"	"Hyaena hyaena (Linnaeus, 1758)"	36.25	-1.06667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	34.91667	-1.41667	"PRESERVED_SPECIMEN"
5218781	"Crocuta crocuta"	"Crocuta crocuta (Erxleben, 1777)"	41	9.46667	"PRESERVED_SPECIMEN"
